       JobID              Submit               Start            Eligible  Partition          Reservation AllocNodes  AllocCPUS ReqNodes  ReqCPUS      ReqGRES  Timelimit    Elapsed  cascades
------------ ------------------- ------------------- ------------------- ---------- -------------------- ---------- ---------- -------- -------- ------------ ---------- ----------  cascades
605352       2021-03-08T16:31:43 2021-03-08T16:31:49 2021-03-08T16:31:43   normal_q                               1          1        1        1              2-22:00:00   00:00:19  cascades
605353       2021-03-08T16:31:43 2021-03-08T16:31:49 2021-03-08T16:31:43   normal_q                               1          1        1        1              2-22:00:00   00:01:13  cascades
605354       2021-03-08T16:31:54 2021-03-08T16:32:20 2021-03-08T16:31:54   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605355       2021-03-08T16:31:56 2021-03-08T16:32:20 2021-03-08T16:31:56   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605356       2021-03-08T16:31:56 2021-03-08T16:32:20 2021-03-08T16:31:56   normal_q                               1          1        1        1              2-22:00:00   00:01:15  cascades
605357       2021-03-08T16:31:56 2021-03-08T16:32:20 2021-03-08T16:31:56   normal_q                               1          1        1        1              2-22:00:00   00:00:19  cascades
605358       2021-03-08T16:31:59 2021-03-08T16:32:20 2021-03-08T16:31:59 v100_dev_q                               1         12        1       12        gpu:1   02:00:00   00:00:02  cascades
605359       2021-03-08T16:32:05 2021-03-08T16:32:05 2021-03-08T16:32:05      dev_q                               1         32        1        1                01:00:00   00:00:12  cascades
605360       2021-03-08T16:32:09 2021-03-08T16:32:20 2021-03-08T16:32:09   normal_q                               1          1        1        1              2-22:00:00   00:00:18  cascades
605361       2021-03-08T16:32:11 2021-03-08T16:32:31 2021-03-08T16:32:11   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605362       2021-03-08T16:32:11 2021-03-08T16:32:31 2021-03-08T16:32:11   normal_q                               1          1        1        1              2-22:00:00   00:00:21  cascades
605363       2021-03-08T16:32:32 2021-03-08T16:32:50 2021-03-08T16:32:32   normal_q                               1          1        1        1              2-22:00:00   00:01:15  cascades
605364       2021-03-08T16:32:32 2021-03-08T16:32:50 2021-03-08T16:32:32   normal_q                               1          1        1        1              2-22:00:00   00:00:21  cascades
605365       2021-03-08T16:32:46 2021-03-08T16:32:50 2021-03-08T16:32:46   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605366       2021-03-08T16:32:49 2021-03-08T16:32:50 2021-03-08T16:32:49   normal_q                               1          1        1        1              2-22:00:00   00:00:18  cascades
605367       2021-03-08T16:32:49 2021-03-08T16:32:50 2021-03-08T16:32:49   normal_q                               1          1        1        1              2-22:00:00   00:00:18  cascades
605368       2021-03-08T16:32:49 2021-03-08T16:33:20 2021-03-08T16:32:49   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605369       2021-03-08T16:32:50 2021-03-08T16:33:20 2021-03-08T16:32:50   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605370       2021-03-08T16:32:51 2021-03-08T16:32:51 2021-03-08T16:32:51      dev_q                               1          1        1        1                02:00:00   02:00:08  cascades
605371       2021-03-08T16:32:59 2021-03-08T16:33:20 2021-03-08T16:32:59   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605372       2021-03-08T16:33:01 2021-03-08T16:33:20 2021-03-08T16:33:01   normal_q                               1          1        1        1              2-22:00:00   00:00:04  cascades
605373       2021-03-08T16:33:12 2021-03-08T16:33:20 2021-03-08T16:33:12   normal_q                               1          1        1        1              2-22:00:00   00:00:21  cascades
605374       2021-03-08T16:33:15 2021-03-08T16:33:31 2021-03-08T16:33:15   normal_q                               1          1        1        1              2-22:00:00   00:00:09  cascades
605375       2021-03-08T16:33:17 2021-03-08T16:33:31 2021-03-08T16:33:17   normal_q                               1          1        1        1              2-22:00:00   00:00:09  cascades
605376       2021-03-08T16:33:17 2021-03-08T16:33:31 2021-03-08T16:33:17   normal_q                               1          1        1        1              2-22:00:00   00:00:08  cascades
605377       2021-03-08T16:33:19 2021-03-08T16:33:20 2021-03-08T16:33:19 v100_dev_q                               1         12        1       12        gpu:1   02:00:00   00:00:08  cascades
605378       2021-03-08T16:33:29 2021-03-08T16:33:31 2021-03-08T16:33:29   normal_q                               1          1        1        1              2-22:00:00   00:00:08  cascades
605379       2021-03-08T16:33:30 2021-03-08T16:33:31 2021-03-08T16:33:30   normal_q                               1          1        1        1              2-22:00:00   00:00:08  cascades
605380       2021-03-08T16:33:30 2021-03-08T16:33:31 2021-03-08T16:33:31   normal_q                               1          1        1        1              2-22:00:00   00:00:09  cascades
605381       2021-03-08T16:33:31 2021-03-08T16:33:31 2021-03-08T16:33:31   normal_q                               1          1        1        1              2-22:00:00   00:00:10  cascades
605382       2021-03-08T16:33:43 2021-03-08T16:33:50 2021-03-08T16:33:43   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605383       2021-03-08T16:33:46 2021-03-08T16:33:50 2021-03-08T16:33:46   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605384       2021-03-08T16:33:46 2021-03-08T16:33:50 2021-03-08T16:33:46   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605385       2021-03-08T16:33:49 2021-03-08T16:33:50 2021-03-08T16:33:49   normal_q                               1          1        1        1              2-22:00:00   00:00:18  cascades
605386       2021-03-08T16:33:49 2021-03-08T16:33:50 2021-03-08T16:33:49   normal_q                               1          1        1        1              2-22:00:00   00:00:04  cascades
605387       2021-03-08T16:33:51 2021-03-08T16:34:20 2021-03-08T16:33:51   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605388       2021-03-08T16:33:52 2021-03-08T16:34:20 2021-03-08T16:33:52   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605389       2021-03-08T16:33:53 2021-03-08T16:34:20 2021-03-08T16:33:53   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605390       2021-03-08T16:33:53 2021-03-08T16:34:20 2021-03-08T16:33:53   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605391       2021-03-08T16:34:05 2021-03-08T16:34:20 2021-03-08T16:34:05   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605392       2021-03-08T16:34:07 2021-03-08T16:34:31 2021-03-08T16:34:07   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605393       2021-03-08T16:34:07 2021-03-08T16:34:31 2021-03-08T16:34:07   normal_q                               1          1        1        1              2-22:00:00   00:00:03  cascades
605394       2021-03-08T16:34:09 2021-03-08T16:34:31 2021-03-08T16:34:09   normal_q                               1          1        1        1              2-22:00:00   00:00:19  cascades
605395       2021-03-08T16:34:09 2021-03-08T16:34:31 2021-03-08T16:34:09   normal_q                               1          1        1        1              2-22:00:00   00:00:03  cascades
605396       2021-03-08T16:34:20 2021-03-08T16:34:31 2021-03-08T16:34:20   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605397       2021-03-08T16:34:31 2021-03-08T16:34:50 2021-03-08T16:34:31   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605398       2021-03-08T16:34:34 2021-03-08T16:34:50 2021-03-08T16:34:34   normal_q                               1          1        1        1              2-22:00:00   00:00:03  cascades
605399       2021-03-08T16:34:34 2021-03-08T16:34:50 2021-03-08T16:34:34   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605400       2021-03-08T16:34:37 2021-03-08T16:34:50 2021-03-08T16:34:37   normal_q                               1          1        1        1              2-22:00:00   00:00:03  cascades
605401       2021-03-08T16:34:37 2021-03-08T16:34:50 2021-03-08T16:34:37   normal_q                               1          1        1        1              2-22:00:00   00:00:03  cascades
605402       2021-03-08T16:34:38 2021-03-08T16:35:20 2021-03-08T16:34:38   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605403       2021-03-08T16:34:39 2021-03-08T16:35:20 2021-03-08T16:34:39   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605404       2021-03-08T16:34:50 2021-03-08T16:35:20 2021-03-08T16:34:50   normal_q                               1          1        1        1              2-22:00:00   00:00:04  cascades
605405       2021-03-08T16:34:51 2021-03-08T16:35:20 2021-03-08T16:34:51 largemem_q                               1          1        1        1                03:00:00   00:24:00  cascades
605406       2021-03-08T16:34:53 2021-03-08T16:35:20 2021-03-08T16:34:53   normal_q                               1          1        1        1              2-22:00:00   00:00:23  cascades
605407       2021-03-08T16:34:53 2021-03-08T16:35:20 2021-03-08T16:34:53   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605408       2021-03-08T16:35:06 2021-03-08T16:35:31 2021-03-08T16:35:06   normal_q                               1          1        1        1              2-22:00:00   00:00:04  cascades
605409       2021-03-08T16:35:09 2021-03-08T16:35:31 2021-03-08T16:35:09   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605410       2021-03-08T16:35:09 2021-03-08T16:35:31 2021-03-08T16:35:09   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605411       2021-03-08T16:35:10 2021-03-08T16:35:31 2021-03-08T16:35:10   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605412       2021-03-08T16:35:11 2021-03-08T16:35:31 2021-03-08T16:35:11   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605413       2021-03-08T16:35:33 2021-03-08T16:35:50 2021-03-08T16:35:33   normal_q                               1          1        1        1              2-22:00:00   00:00:23  cascades
605414       2021-03-08T16:35:35 2021-03-08T16:35:50 2021-03-08T16:35:35   normal_q                               1          1        1        1              2-22:00:00   00:00:04  cascades
605415       2021-03-08T16:35:35 2021-03-08T16:35:50 2021-03-08T16:35:35   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605416       2021-03-08T16:35:37 2021-03-08T16:35:50 2021-03-08T16:35:37   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605417       2021-03-08T16:35:37 2021-03-08T16:35:50 2021-03-08T16:35:37   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605418       2021-03-08T16:35:37 2021-03-08T16:36:20 2021-03-08T16:35:37   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605419       2021-03-08T16:35:43 2021-03-08T16:35:43 2021-03-08T16:35:43      dev_q                               1         32        1        1                01:00:00   00:02:28  cascades
605420       2021-03-08T16:35:48 2021-03-08T16:36:20 2021-03-08T16:35:48   normal_q                               1          1        1        1              2-22:00:00   00:00:23  cascades
605421       2021-03-08T16:35:51 2021-03-08T16:36:20 2021-03-08T16:35:51   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605422       2021-03-08T16:35:51 2021-03-08T16:36:20 2021-03-08T16:35:51   normal_q                               1          1        1        1              2-22:00:00   00:00:03  cascades
605423       2021-03-08T16:35:52 2021-03-08T16:36:20 2021-03-08T16:35:52   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605424       2021-03-08T16:36:04 2021-03-08T16:36:31 2021-03-08T16:36:04   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605425       2021-03-08T16:36:06 2021-03-08T16:36:31 2021-03-08T16:36:06   normal_q                               1          1        1        1              2-22:00:00   00:00:03  cascades
605426       2021-03-08T16:36:07 2021-03-08T16:36:31 2021-03-08T16:36:07   normal_q                               1          1        1        1              2-22:00:00   00:00:20  cascades
605427       2021-03-08T16:36:07 2021-03-08T16:36:31 2021-03-08T16:36:07   normal_q                               1          1        1        1              2-22:00:00   00:01:11  cascades
605428       2021-03-08T16:36:18 2021-03-08T16:36:31 2021-03-08T16:36:18   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605429       2021-03-08T16:36:30 2021-03-08T16:36:31 2021-03-08T16:36:30   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605430       2021-03-08T16:36:32 2021-03-08T16:36:50 2021-03-08T16:36:32   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605431       2021-03-08T16:36:32 2021-03-08T16:36:50 2021-03-08T16:36:32   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605432       2021-03-08T16:36:32 2021-03-08T16:36:50 2021-03-08T16:36:32   normal_q                               1          1        1        1              2-22:00:00   00:00:19  cascades
605433       2021-03-08T16:36:42 2021-03-08T16:36:50 2021-03-08T16:36:42   normal_q                               1          1        1        1              2-22:00:00   00:01:08  cascades
605434       2021-03-08T16:36:44 2021-03-08T16:36:50 2021-03-08T16:36:44   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605435       2021-03-08T16:36:44 2021-03-08T16:37:20 2021-03-08T16:36:44   normal_q                               1          1        1        1              2-22:00:00   00:00:24  cascades
